exchangeAddress,exchangeName,Chain
0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,Ethereum
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,GGBTC.com,Ethereum
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC 1,Ethereum
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,Ethereum
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,Ethereum
0x980a4732c8855ffc8112e6746bd62095b4c2228f,Hoo.com,Ethereum
0xd0ec209ad2134899148bec8aef905a6e9997456a,Hoo.com 2,Ethereum
0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,Hoo.com 3,Ethereum
0xec293b9c56f06c8f71392269313d7e2da681d9ac,Hoo.com 4,Ethereum
0x0093e5f2a850268c0ca3093c7ea53731296487eb,Hoo.com 5,Ethereum
0x008932be50098089c6a075d35f4b5182ee549f8a,Hoo.com 6,Ethereum
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,Ethereum
0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit 2,Ethereum
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,Hotbit 3,Ethereum
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,Ethereum
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi 10,Ethereum
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,Ethereum
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Ethereum
0x32598293906b5b17c27d657db3ad2c9b3f3e4265,Huobi 13,Ethereum
0x5861b8446a2f6e19a067874c133f04c578928727,Huobi 14,Ethereum
0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi 15,Ethereum
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Huobi 16,Ethereum
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,Ethereum
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,Ethereum
0xd8a83b72377476d0a66683cde20a8aad0b628713,Huobi 19,Ethereum
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,Ethereum
0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,Huobi 20,Ethereum
0x18916e1a2933cb349145a280473a5de8eb6630cb,Huobi 21,Ethereum
0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Huobi 22,Ethereum
0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,Huobi 23,Ethereum
0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Huobi 24,Ethereum
0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,Huobi 25,Ethereum
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Huobi 26,Ethereum
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,Ethereum
0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Huobi 28,Ethereum
0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,Ethereum
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,Ethereum
0xfd54078badd5653571726c3370afb127351a6f26,Huobi 30,Ethereum
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,Huobi 31,Ethereum
0x4d77a1144dc74f26838b69391a6d3b1e403d0990,Huobi 32,Ethereum
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,Ethereum
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,Ethereum
0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,Ethereum
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,Huobi 36,Ethereum
0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37,Ethereum
0x49517ca7b7a50f592886d4c74175f4c07d460a70,Huobi 38,Ethereum
0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,Huobi 39,Ethereum
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,Ethereum
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,Ethereum
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,Ethereum
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,Ethereum
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi 8,Ethereum
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,Ethereum
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,Idax.global,Ethereum
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,Ethereum
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax 2,Ethereum
0xb1a34309af7f29b4195a6b589737f86e14597ddc,IndoEx LTD,Ethereum
0x352bdabe484499e4c25c3536cc3eda1edbc5ad29,KickEX,Ethereum
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken,Ethereum
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken 10,Ethereum
0x43984d578803891dfa9706bdeee6078d80cfc79e,Kraken 11,Ethereum
0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Kraken 12,Ethereum
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,Ethereum
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,Ethereum
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,Ethereum
